time,open,high,low,close,tick_volume,spread,real_volume,Datetime,month,year,day_week,date,symbol
1567036800,1539.2,1550.33,1519.7,1527.31,103245,0,0,29.08.2019,8,2019,3,29.08.2019,XAUUSD
1567123200,1527.75,1533.07,1516.87,1520.3,94393,0,0,30.08.2019,8,2019,4,30.08.2019,XAUUSD
1567382400,1526.12,1533.94,1519.3,1528.94,62319,0,0,02.09.2019,9,2019,0,02.09.2019,XAUUSD
1567468800,1529.34,1549.65,1521.57,1547.47,91425,0,0,03.09.2019,9,2019,1,03.09.2019,XAUUSD
1567555200,1546.82,1556.97,1533.81,1552.39,94854,0,0,04.09.2019,9,2019,2,04.09.2019,XAUUSD
1567641600,1552.21,1552.94,1506.28,1518.89,115370,0,0,05.09.2019,9,2019,3,05.09.2019,XAUUSD
1567728000,1517.16,1527.83,1502.51,1506.76,132495,0,0,06.09.2019,9,2019,4,06.09.2019,XAUUSD
1567987200,1507.93,1515.42,1497.56,1498.85,94525,0,0,09.09.2019,9,2019,0,09.09.2019,XAUUSD
1568073600,1498.79,1500.92,1484.43,1485.17,97105,0,0,10.09.2019,9,2019,1,10.09.2019,XAUUSD
1568160000,1485.83,1498.2,1485.09,1496.68,78173,0,0,11.09.2019,9,2019,2,11.09.2019,XAUUSD
1568246400,1497.11,1524.12,1489.2,1498.9,110139,0,0,12.09.2019,9,2019,3,12.09.2019,XAUUSD
1568332800,1498.62,1508.97,1485.74,1488.46,92147,0,0,13.09.2019,9,2019,4,13.09.2019,XAUUSD
1568592000,1506.1,1512.08,1495.84,1498.15,107366,0,0,16.09.2019,9,2019,0,16.09.2019,XAUUSD
1568678400,1498.83,1507.03,1493.36,1501.24,78919,0,0,17.09.2019,9,2019,1,17.09.2019,XAUUSD
1568764800,1501.44,1511.47,1483.29,1493.87,85668,0,0,18.09.2019,9,2019,2,18.09.2019,XAUUSD
1568851200,1493.96,1504.46,1488.87,1498.76,77651,0,0,19.09.2019,9,2019,3,19.09.2019,XAUUSD
1568937600,1499.09,1517,1497.9,1516.63,68214,0,0,20.09.2019,9,2019,4,20.09.2019,XAUUSD
1569196800,1514.05,1526.78,1510.94,1522.04,84182,0,0,23.09.2019,9,2019,0,23.09.2019,XAUUSD
1569283200,1522.37,1535.64,1515.6,1532.08,85665,0,0,24.09.2019,9,2019,1,24.09.2019,XAUUSD
1569369600,1532.06,1535.09,1500.37,1503.51,92057,0,0,25.09.2019,9,2019,2,25.09.2019,XAUUSD
1569456000,1503.81,1512.29,1500.23,1504.49,83729,0,0,26.09.2019,9,2019,3,26.09.2019,XAUUSD
1569542400,1504.68,1507.38,1486.79,1496.81,97324,0,0,27.09.2019,9,2019,4,27.09.2019,XAUUSD
1569801600,1494.83,1500.48,1464.46,1472.48,98933,0,0,30.09.2019,9,2019,0,30.09.2019,XAUUSD
1569888000,1471.86,1487.21,1459.03,1478.97,104113,0,0,01.10.2019,10,2019,1,01.10.2019,XAUUSD
1569974400,1478.82,1505.05,1474.47,1499.75,98492,0,0,02.10.2019,10,2019,2,02.10.2019,XAUUSD
1570060800,1499.23,1519.57,1495.74,1504.86,105078,0,0,03.10.2019,10,2019,3,03.10.2019,XAUUSD
1570147200,1505.52,1515.4,1495.64,1504.58,96461,0,0,04.10.2019,10,2019,4,04.10.2019,XAUUSD
1570406400,1512.86,1512.92,1487.99,1493.15,79207,0,0,07.10.2019,10,2019,0,07.10.2019,XAUUSD
1570492800,1493.28,1509.67,1486.82,1505.47,100169,0,0,08.10.2019,10,2019,1,08.10.2019,XAUUSD
1570579200,1505.18,1512.25,1499.82,1505.52,82296,0,0,09.10.2019,10,2019,2,09.10.2019,XAUUSD
1570665600,1505.36,1517,1491.03,1493.43,107532,0,0,10.10.2019,10,2019,3,10.10.2019,XAUUSD
1570752000,1493.76,1503.13,1473.97,1488.59,109938,0,0,11.10.2019,10,2019,4,11.10.2019,XAUUSD
1571011200,1487.46,1497.1,1482.79,1493.04,69447,0,0,14.10.2019,10,2019,0,14.10.2019,XAUUSD
1571097600,1493.46,1498.37,1477.18,1480.98,71718,0,0,15.10.2019,10,2019,1,15.10.2019,XAUUSD
1571184000,1480.98,1491.55,1477.02,1489.86,78946,0,0,16.10.2019,10,2019,2,16.10.2019,XAUUSD
1571270400,1490.23,1497.3,1483.41,1491.76,74395,0,0,17.10.2019,10,2019,3,17.10.2019,XAUUSD
1571356800,1491.76,1494.05,1484.87,1490.36,62750,0,0,18.10.2019,10,2019,4,18.10.2019,XAUUSD
1571616000,1491.57,1495.16,1481.47,1484.3,62573,0,0,21.10.2019,10,2019,0,21.10.2019,XAUUSD
1571702400,1484.11,1488.94,1480.81,1487.46,58971,0,0,22.10.2019,10,2019,1,22.10.2019,XAUUSD
1571788800,1487.76,1496.24,1487.64,1491.85,56016,0,0,23.10.2019,10,2019,2,23.10.2019,XAUUSD
